occupation_name,Original_Bias,Reduced_Bias
writer,9.491525423728811,5.409121897848905
tradesman/craftsman,9.15492957746479,6.483259602816155
customer service,7.391304347826087,4.846319688082841
K-12 student,6.0344827586206895,3.763574356423294
unemployed,5.88235294117647,3.0437910218010864
homemaker,5.769230769230769,2.9852231820039727
artist,5.719921104536489,2.8252982131539777
college/grad student,4.949729311678268,3.404831059482057
executive/managerial,4.401913875598086,2.7479722229325385
other,4.312267657992565,2.802704110254346
