occupation_name,POR_Original_%,POR_Fair_%,Change_%,Is_Top10
retired,96.67,99.17,2.5,False
scientist,94.29,95.51,1.22,False
doctor/health care,93.11,94.49,1.38,False
programmer,91.92,92.59,0.67,False
clerical/admin,91.5,91.18,-0.33,False
sales/marketing,90.14,91.55,1.41,False
lawyer,89.18,92.78,3.61,False
homemaker,88.46,82.69,-5.77,True
executive/managerial,86.03,89.28,3.25,True
technician/engineer,85.54,88.2,2.65,False
self-employed,85.1,86.91,1.81,False
academic/educator,83.64,83.64,0.0,False
artist,82.45,83.83,1.38,True
college/grad student,82.21,85.46,3.25,True
K-12 student,79.74,82.33,2.59,True
other,76.58,78.51,1.93,True
farmer,70.83,70.83,0.0,False
customer service,70.43,76.96,6.52,True
tradesman/craftsman,69.72,78.87,9.15,True
writer,66.27,71.36,5.08,True
unemployed,45.75,49.02,3.27,True
