index,age,gender,occupation,original_pred,counterfactual_pred,ground_truth,changed,fair_pred
0,25,Male,12,1,1,0,False,1
1,45,Female,2,1,1,1,False,1
2,25,Male,0,1,1,1,False,1
3,25,Male,12,1,1,1,False,1
4,45,Male,12,1,1,0,False,1
5,35,Male,14,1,1,1,False,1
6,35,Female,5,0,0,1,False,0
7,25,Male,1,1,1,0,False,1
8,25,Male,17,1,1,0,False,1
9,18,Female,2,1,1,0,False,1
10,25,Male,4,0,0,0,False,0
11,18,Male,4,0,0,1,False,0
12,25,Female,7,1,1,1,False,1
13,35,Female,0,1,1,1,False,1
14,18,Male,7,0,0,0,False,0
15,35,Male,12,1,1,0,False,1
16,1,Male,10,0,1,1,True,1
17,18,Male,4,1,1,1,False,1
18,25,Male,14,1,1,0,False,1
19,25,Male,14,1,1,0,False,1
20,25,Female,0,1,1,1,False,1
21,25,Male,14,1,1,0,False,1
22,18,Male,4,1,1,1,False,1
23,18,Male,15,0,0,1,False,0
24,35,Male,17,1,1,1,False,1
25,35,Female,11,1,1,1,False,1
26,25,Male,4,1,1,1,False,1
27,50,Male,6,1,1,1,False,1
28,25,Male,2,1,1,1,False,1
29,45,Female,1,1,1,1,False,1
30,35,Male,0,1,1,1,False,1
31,45,Female,1,1,1,1,False,1
32,35,Male,7,0,1,0,True,1
33,18,Male,4,1,1,1,False,1
34,25,Male,20,1,1,1,False,1
35,25,Female,7,1,1,1,False,1
36,35,Male,7,1,1,0,False,1
37,45,Male,2,1,1,1,False,1
38,25,Male,2,1,1,1,False,1
39,18,Male,2,1,1,0,False,1
40,35,Male,16,1,1,1,False,1
41,35,Male,12,1,1,1,False,1
42,25,Male,7,1,1,1,False,1
43,25,Female,12,0,0,0,False,0
44,25,Female,20,0,0,0,False,0
45,25,Male,7,1,1,1,False,1
46,18,Female,4,0,0,0,False,0
47,18,Male,4,0,0,0,False,0
48,35,Male,7,1,1,1,False,1
49,25,Male,11,1,1,1,False,1
50,35,Male,12,1,1,1,False,1
51,35,Male,11,1,1,0,False,1
52,35,Male,15,1,1,0,False,1
53,25,Male,0,0,0,1,False,0
54,35,Female,12,1,1,1,False,1
55,25,Female,4,1,1,1,False,1
56,25,Female,0,1,1,0,False,1
57,1,Male,0,1,1,1,False,1
58,45,Male,2,1,1,1,False,1
59,35,Male,17,1,1,0,False,1
60,25,Male,0,1,1,0,False,1
61,25,Male,16,1,1,0,False,1
62,35,Male,17,1,1,1,False,1
63,35,Female,2,1,1,0,False,1
64,35,Female,19,0,0,0,False,0
65,25,Female,0,0,0,1,False,0
66,45,Male,20,0,1,0,True,1
67,45,Male,0,1,1,1,False,1
68,18,Male,12,1,1,1,False,1
69,25,Female,1,1,1,1,False,1
70,18,Male,0,0,0,0,False,0
71,18,Male,20,0,0,1,False,0
72,56,Male,7,1,1,1,False,1
73,18,Female,2,1,1,0,False,1
74,18,Male,0,1,1,1,False,1
75,35,Male,7,1,1,0,False,1
76,35,Male,11,0,0,1,False,0
77,50,Male,1,1,1,1,False,1
78,45,Male,20,1,1,0,False,1
79,45,Male,3,1,1,1,False,1
80,1,Male,10,1,1,0,False,1
81,25,Female,9,1,0,1,True,0
82,1,Female,10,1,1,0,False,1
83,45,Male,16,1,1,0,False,1
84,35,Male,15,1,1,0,False,1
85,45,Male,0,1,1,1,False,1
86,50,Male,0,1,1,1,False,1
87,35,Male,17,1,1,1,False,1
88,35,Male,4,1,1,1,False,1
89,25,Male,7,1,1,1,False,1
90,35,Male,18,1,1,0,False,1
91,25,Male,12,1,1,0,False,1
92,18,Male,2,0,0,1,False,0
93,35,Male,16,1,1,0,False,1
94,18,Male,4,0,1,0,True,1
95,18,Male,0,0,1,0,True,1
96,18,Male,0,0,0,0,False,0
97,25,Male,1,1,1,0,False,1
98,25,Male,0,0,0,0,False,0
99,18,Male,0,1,1,1,False,1
100,25,Male,4,1,1,0,False,1
101,18,Female,4,1,1,0,False,1
102,25,Male,14,1,1,1,False,1
103,35,Female,17,1,1,1,False,1
104,56,Female,2,1,1,1,False,1
105,25,Female,7,1,1,0,False,1
106,18,Male,10,1,1,0,False,1
107,25,Male,12,1,1,0,False,1
108,45,Male,7,1,1,1,False,1
109,18,Male,17,1,1,0,False,1
110,18,Male,17,0,0,1,False,0
111,25,Male,20,0,0,1,False,0
112,35,Female,1,1,1,1,False,1
113,25,Female,0,1,1,0,False,1
114,18,Male,4,1,1,0,False,1
115,25,Male,5,1,1,1,False,1
116,25,Male,0,1,1,1,False,1
117,35,Male,14,1,1,1,False,1
118,56,Male,14,1,1,0,False,1
119,18,Male,20,1,1,1,False,1
120,35,Female,4,1,1,0,False,1
121,25,Male,20,1,1,0,False,1
122,18,Female,4,1,1,1,False,1
123,18,Male,4,1,1,1,False,1
124,25,Male,0,1,1,1,False,1
125,18,Male,4,1,1,1,False,1
126,18,Male,4,0,0,1,False,0
127,35,Male,3,1,1,1,False,1
128,35,Female,17,1,1,0,False,1
129,35,Male,12,1,1,0,False,1
130,18,Male,4,1,1,1,False,1
131,35,Female,1,1,1,0,False,1
132,35,Male,0,1,1,0,False,1
133,25,Female,1,1,1,0,False,1
134,50,Male,12,1,1,1,False,1
135,45,Female,2,1,1,1,False,1
136,50,Female,18,1,1,1,False,1
137,25,Male,2,0,0,0,False,0
138,18,Male,2,1,1,0,False,1
139,35,Female,0,1,1,0,False,1
140,18,Female,3,1,1,1,False,1
141,45,Male,18,1,1,1,False,1
142,25,Female,0,1,1,1,False,1
143,35,Female,16,1,1,0,False,1
144,18,Female,1,1,1,0,False,1
145,25,Female,5,0,0,1,False,0
